descriptor_set,n_features,alpha,val_mse,val_mae,selected
legacy_no_meta,86,1e-06,0.003505350060105618,0.04144287273883434,False
legacy_no_meta,86,3e-06,0.0035046457833566103,0.04144615741863903,False
legacy_no_meta,86,1e-05,0.0035035128043763835,0.04145138723963913,False
legacy_no_meta,86,3e-05,0.003501932236589122,0.041455530725465636,False
legacy_no_meta,86,0.0001,0.003500527653117346,0.04146640393862037,False
legacy_no_meta,86,0.0003,0.0035002543021154272,0.04147252205638702,True
legacy_no_meta,86,0.001,0.0035013857651800596,0.041480710270798395,False
legacy_no_meta,86,0.003,0.0035056071002376055,0.04150209736165367,False
legacy_no_meta,86,0.01,0.003522747183762565,0.04162564548694832,False
legacy_no_meta,86,0.03,0.0035720247811787207,0.042023080200308933,False
legacy_no_meta,86,0.1,0.0037032073636535587,0.04309784822864883,False
legacy_no_meta,86,1.0,0.004391256766659373,0.0487267903042617,False
legacy_no_meta,86,10.0,0.00626977954997941,0.06127529256647301,False
legacy_no_meta,86,100.0,0.008775962816523267,0.07532913939884082,False
legacy_no_meta,86,300.0,0.009493460083831597,0.07913118661601873,False
measured_ground_augmented,86,1e-06,0.0037538457634694817,0.043588650704035344,False
measured_ground_augmented,86,3e-06,0.00375152841897356,0.04358317420002134,False
measured_ground_augmented,86,1e-05,0.0037478095897054103,0.043575150620421076,False
measured_ground_augmented,86,3e-05,0.003743621001099273,0.043569883209918316,False
measured_ground_augmented,86,0.0001,0.0037398178112830107,0.04356485027536926,False
measured_ground_augmented,86,0.0003,0.0037384117186632965,0.04356791212159051,True
measured_ground_augmented,86,0.001,0.0037387633251968803,0.04357516836180512,False
measured_ground_augmented,86,0.003,0.0037418650086213233,0.043599494821011546,False
measured_ground_augmented,86,0.01,0.0037558247542678076,0.043687938244177424,False
measured_ground_augmented,86,0.03,0.0037973705045303654,0.04400093314871307,False
measured_ground_augmented,86,0.1,0.003910440355778168,0.044923843388549226,False
measured_ground_augmented,86,1.0,0.004546070388951208,0.0497516886495844,False
measured_ground_augmented,86,10.0,0.006383723960935451,0.06182343126796424,False
measured_ground_augmented,86,100.0,0.008859140431521556,0.07571623093846203,False
measured_ground_augmented,86,300.0,0.009557078177774382,0.07942656605257525,False
oracle_full,92,1e-06,0.0031125121892357603,0.03868512679968526,False
oracle_full,92,3e-06,0.0031119314916768256,0.038687851375237586,False
oracle_full,92,1e-05,0.0031116842476136795,0.038684991733395624,False
oracle_full,92,3e-05,0.003111626521382921,0.03868414525178274,False
oracle_full,92,0.0001,0.0031115124393745514,0.038690034320835,True
oracle_full,92,0.0003,0.0031116812394169327,0.038692689117146586,False
oracle_full,92,0.001,0.0031127685835404743,0.038697844916095514,False
oracle_full,92,0.003,0.003116296780475382,0.038714794866877206,False
oracle_full,92,0.01,0.0031305831963247604,0.03881167327229763,False
oracle_full,92,0.03,0.00317283951778025,0.03915541855618934,False
oracle_full,92,0.1,0.0032858290972514275,0.040163061940938355,False
oracle_full,92,1.0,0.00392985995233197,0.0457196573776477,False
oracle_full,92,10.0,0.0060092873823912075,0.05991932255993152,False
oracle_full,92,100.0,0.008684582003049286,0.07491666005176281,False
oracle_full,92,300.0,0.009448620238146462,0.0789362091142143,False
signal_derived_with_ground,78,1e-06,0.0037700103133913843,0.043839770243197775,False
signal_derived_with_ground,78,3e-06,0.003767744308363556,0.04383988757049199,False
signal_derived_with_ground,78,1e-05,0.0037642334571660763,0.043837823813493805,False
signal_derived_with_ground,78,3e-05,0.0037600802460044246,0.04383018822751682,False
signal_derived_with_ground,78,0.0001,0.003756249427323674,0.04382181528521287,False
signal_derived_with_ground,78,0.0003,0.00375472334056629,0.04382235062874399,True
signal_derived_with_ground,78,0.001,0.0037549567335976096,0.043827006656283314,False
signal_derived_with_ground,78,0.003,0.003757790320095158,0.04384705394583261,False
signal_derived_with_ground,78,0.01,0.003770757617468498,0.043928209952899935,False
signal_derived_with_ground,78,0.03,0.003810407978136322,0.044238699278944464,False
signal_derived_with_ground,78,0.1,0.0039215443303830125,0.04513348254100699,False
signal_derived_with_ground,78,1.0,0.004549977248433545,0.04979397433121417,False
signal_derived_with_ground,78,10.0,0.006377528553443829,0.06184847982194051,False
signal_derived_with_ground,78,100.0,0.008856716938023047,0.07584694347091114,False
signal_derived_with_ground,78,300.0,0.009546021916811661,0.07946211809745228,False
structural_response_only,59,1e-06,0.005161257438235742,0.05265729995904702,True
structural_response_only,59,3e-06,0.00516786569780312,0.052680519915073554,False
structural_response_only,59,1e-05,0.005175499193242544,0.052705985702070676,False
structural_response_only,59,3e-05,0.005180995667888863,0.05273124439760194,False
structural_response_only,59,0.0001,0.005184519577492911,0.05276295209688488,False
structural_response_only,59,0.0003,0.005186126889861995,0.05277985367356508,False
structural_response_only,59,0.001,0.0051871215088366415,0.0527938081502503,False
structural_response_only,59,0.003,0.005188732126128029,0.05281763108376394,False
structural_response_only,59,0.01,0.0051968009948308745,0.05289613452339108,False
structural_response_only,59,0.03,0.0052256172948087435,0.053139300377821115,False
structural_response_only,59,0.1,0.0053132000845835204,0.053835607539991684,False
structural_response_only,59,1.0,0.005759899891279253,0.056932485320894934,False
structural_response_only,59,10.0,0.007181429853598077,0.06622084561967584,False
structural_response_only,59,100.0,0.009177351501999982,0.07754440867709778,False
structural_response_only,59,300.0,0.009713577306868152,0.0803252919856005,False
